,instance,k,built-in_expanded,built-in_search,built-in_total,built-in-pdb_expanded,built-in-pdb_search,built-in-pdb_total,planopt_expanded,planopt_search,planopt_total
0,1,1000,43.0,0.000221082,0.00570726,43.0,0.000244917,0.00646871,43.0,0.000301166,0.0116276
1,2,1000,2406.0,0.00437575,0.0115774,10405.0,0.0151931,0.0226673,10072.0,0.0161157,0.0239656
2,3,1000,2231.0,0.00109108,0.00782512,31011.0,0.0440038,0.0505355,30128.0,0.0541952,0.0613473
3,4,1000,31350.0,0.0781412,0.0865845,1379615.0,2.45059,2.45892,1352130.0,3.0841,3.0945
4,5,1000,391698.0,1.07474,1.08853,,,,,,
5,6,1000,3323144.0,12.8055,12.8256,,,,,,
6,7,1000,,,,,,,,,
